@relation reviews

@attribute 'of' real
@attribute 'to' real
@attribute 'is' real
@attribute 'in' real
@attribute 'with' real
@attribute 'was' real
@attribute 'film' real
@attribute 'movie' real
@attribute 'on' real
@attribute 'are' real
@attribute 'not' real
@attribute 'one' real
@attribute 'be' real
@attribute 'have' real
@attribute 'by' real
@attribute 'at' real
@attribute 'all' real
@attribute 'who' real
@attribute 'from' real
@attribute 'has' real
@attribute '' real
@attribute 'like' real
@attribute 'about' real
@attribute 'very' real
@attribute 'out' real
@attribute 'more' real
@attribute 'what' real
@attribute 'some' real
@attribute 'good' real
@attribute 'just' real
@attribute 'there' real
@attribute 'great' real
@attribute 'see' real
@attribute 'story' real
@attribute 'time' real
@attribute 'which' real
@attribute 'up' real
@attribute 'well' real
@attribute 'can' real
@attribute 'really' real
@attribute 'also' real
@attribute 'would' real
@attribute 'will' real
@attribute 'had' real
@attribute 'were' real
@attribute 'only' real
@attribute 'most' real
@attribute 'other' real
@attribute 'even' real
@attribute 'no' real
@attribute 'much' real
@attribute 'than' real
@attribute 'first' real
@attribute 'love' real
@attribute 'into' real
@attribute 'films' real
@attribute 'best' real
@attribute 'people' real
@attribute 'how' real
@attribute 'been' real
@attribute 'get' real
@attribute 'many' real
@attribute 'do' real
@attribute 'way' real
@attribute 'characters' real
@attribute 'life' real
@attribute 'think' real
@attribute 'movies' real
@attribute 'made' real
@attribute 'dont' real
@attribute 'too' real
@attribute 'two' real
@attribute 'then' real
@attribute 'seen' real
@attribute 'watch' real
@attribute 'being' real
@attribute 'character' real
@attribute 'show' real
@attribute 'make' real
@attribute 'never' real
@attribute 'little' real
@attribute 'still' real
@attribute 'could' real
@attribute 'any' real
@attribute 'man' real
@attribute 'know' real
@attribute 'does' real
@attribute 'did' real
@attribute 'ever' real
@attribute 'years' real
@attribute 'end' real
@attribute 'scene' real
@attribute 'over' real
@attribute 'real' real
@attribute 'say' real
@attribute 'such' real
@attribute 'scenes' real
@attribute 'back' real
@attribute 'makes' real
@attribute 'here' real
@attribute opinion {pos, neg}

@data
8,7,0,2,0,3,0,6,2,1,2,0,1,1,0,0,2,0,1,0,0,1,0,1,0,1,1,2,1,3,2,1,1,0,0,0,1,0,1,2,0,2,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pos
4,3,0,1,1,7,2,0,0,0,1,0,1,2,3,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,1,0,0,0,1,pos
2,7,5,5,1,3,1,5,2,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,2,3,1,0,1,1,4,3,1,0,1,0,0,2,2,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,pos
4,3,4,2,1,0,0,4,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,1,2,1,0,0,0,0,0,3,0,0,0,0,2,3,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,pos
1,2,5,4,0,0,0,3,0,0,1,0,0,0,0,0,1,1,1,0,0,2,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,pos
8,10,7,9,5,0,9,0,4,5,3,1,3,0,0,3,3,1,1,1,0,2,0,1,1,3,0,1,1,0,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,3,0,2,0,0,0,1,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,1,1,0,0,0,pos
13,1,7,2,1,0,2,0,0,2,1,0,1,0,1,1,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pos
20,23,4,12,5,3,2,0,3,1,3,4,2,3,5,3,2,2,4,1,5,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,1,1,0,1,1,1,1,0,1,2,2,2,0,0,0,0,2,1,1,0,0,0,0,2,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,2,1,1,1,pos
7,2,8,1,4,1,0,1,0,1,1,2,0,2,1,2,0,0,1,0,0,2,0,1,0,1,2,2,1,1,4,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,3,0,0,2,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,pos
7,4,4,1,2,2,0,0,1,0,1,1,1,0,1,1,1,2,0,0,0,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pos
8,11,5,9,2,0,1,2,3,1,3,1,4,1,1,2,1,0,1,1,0,2,1,0,3,0,2,2,0,0,1,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,pos
3,6,4,3,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,pos
7,2,6,4,2,0,3,0,0,1,0,1,0,0,1,0,2,0,2,0,0,0,1,0,0,0,0,2,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,pos
1,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pos
4,0,1,1,0,2,0,0,0,1,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,pos
8,2,4,5,1,0,0,0,0,2,1,1,0,1,1,0,1,0,0,0,0,3,0,0,1,0,0,1,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,pos
5,9,3,10,3,0,1,0,1,3,0,0,0,2,0,4,1,0,0,0,0,2,0,1,1,2,0,1,0,1,2,0,1,0,0,0,2,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,2,0,2,0,0,0,0,1,0,0,0,0,1,1,0,1,pos
5,2,1,1,1,1,0,0,1,2,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,pos
1,3,1,3,3,0,0,0,1,0,0,0,0,1,1,2,1,1,1,0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,pos
32,18,12,17,15,4,2,0,9,0,6,6,1,2,2,11,0,6,5,5,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,4,1,2,0,2,0,0,1,0,1,0,4,0,0,0,2,3,0,5,1,0,0,0,0,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,2,0,0,pos
16,8,2,20,8,5,3,0,4,0,1,5,0,3,1,3,1,1,1,0,1,1,0,0,1,1,0,0,1,2,0,0,0,3,2,2,3,0,0,0,0,0,0,1,1,1,1,2,0,1,1,2,2,0,3,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,3,0,0,0,1,2,1,0,0,0,0,2,2,0,1,0,1,0,0,2,pos
4,2,4,0,5,0,2,0,3,2,1,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pos
32,37,10,15,10,25,4,2,1,2,8,0,8,4,9,13,4,1,2,3,0,1,2,4,2,0,1,6,2,0,5,3,1,3,2,2,3,4,1,0,0,3,0,4,2,6,1,1,3,0,2,0,3,0,1,0,0,0,0,6,0,1,0,2,0,2,1,0,2,0,0,1,4,0,0,1,0,0,1,0,1,0,2,0,1,1,1,3,0,1,1,0,1,2,0,1,0,0,0,3,pos
4,3,0,1,1,7,2,0,0,0,1,0,1,2,3,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,1,0,0,0,1,pos
15,9,0,5,1,0,0,2,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,2,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1,pos
30,11,5,12,7,6,6,0,6,2,3,0,5,1,4,3,1,0,2,0,0,0,2,5,1,2,1,1,0,4,2,0,0,1,4,1,1,2,0,2,0,3,1,0,8,0,3,0,0,0,1,1,0,0,1,2,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,1,1,0,0,3,1,0,1,0,5,0,0,3,1,0,0,1,0,2,1,1,0,1,1,3,2,0,0,0,pos
9,5,10,1,5,0,3,0,4,1,0,2,0,1,1,2,1,1,2,3,2,0,0,3,1,2,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,pos
3,1,0,2,1,6,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pos
27,19,11,13,16,1,1,6,10,5,5,3,3,1,4,1,0,2,0,1,0,1,2,0,0,0,0,1,1,3,0,0,0,0,1,3,0,1,0,0,1,2,0,2,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,1,1,0,1,0,0,1,0,0,1,1,2,0,2,0,0,0,pos
2,3,7,1,0,1,1,0,1,0,0,2,0,3,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,2,0,0,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,pos
8,3,5,0,1,1,0,5,1,2,4,2,0,2,1,0,4,1,2,1,0,1,0,2,1,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,4,0,2,0,1,1,1,0,0,0,0,4,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,pos
6,6,4,5,6,4,2,9,2,1,2,0,0,0,1,3,0,0,1,0,1,1,1,1,2,1,0,1,2,1,0,0,1,2,0,1,1,2,0,0,0,1,3,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,4,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,pos
20,11,10,20,2,2,2,5,1,3,5,2,1,0,1,6,2,3,0,1,0,2,1,0,1,1,0,4,0,1,1,0,2,2,1,2,0,0,1,0,0,0,0,0,5,1,1,2,2,1,2,0,0,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,pos
3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pos
1,4,8,2,3,0,7,1,2,4,2,1,0,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pos
2,0,3,1,1,1,0,1,1,2,3,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,pos
2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,pos
20,11,6,6,1,2,3,1,2,3,1,3,3,2,3,2,3,1,1,0,3,1,0,1,2,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,1,0,1,1,0,1,0,2,1,0,2,2,1,1,0,1,1,1,1,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,pos
2,4,8,3,2,3,0,1,0,1,1,0,0,0,0,1,1,1,2,1,0,2,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,pos
21,13,11,8,3,0,0,4,3,3,4,0,3,1,3,2,0,7,1,2,3,1,0,2,0,1,0,0,0,1,0,0,1,0,0,2,0,1,1,0,0,1,0,1,1,1,0,4,0,0,0,0,1,2,4,0,0,0,1,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,1,1,1,0,0,0,0,2,1,0,0,1,0,0,2,0,pos
20,12,3,7,5,12,2,0,3,1,3,4,5,3,3,5,1,0,2,1,0,0,1,1,0,0,2,0,2,0,0,2,0,3,1,0,1,0,0,0,1,1,2,1,2,1,0,1,1,0,0,0,0,1,0,1,0,0,0,2,0,0,1,1,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,3,2,1,0,2,0,0,0,1,0,0,0,0,pos
0,2,2,2,0,1,0,2,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pos
3,2,1,0,0,6,5,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,pos
3,2,4,3,2,1,4,0,0,0,0,0,1,1,0,1,2,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,pos
31,18,6,23,11,18,5,1,6,0,2,1,5,2,1,1,2,4,2,1,13,6,1,2,4,2,2,0,0,0,0,0,1,1,0,2,1,0,0,2,1,6,0,2,1,2,2,1,2,0,0,1,0,0,2,2,1,0,0,1,1,0,0,0,0,0,2,0,1,0,1,0,1,1,0,1,1,0,1,1,1,2,2,1,3,0,0,1,0,2,0,0,0,2,0,1,0,0,0,0,pos
30,23,10,19,6,0,3,0,4,7,4,1,2,3,1,3,5,2,2,4,4,1,1,1,0,1,1,1,2,0,0,2,0,2,5,1,0,1,2,0,0,0,2,0,2,0,0,1,2,2,1,0,2,4,1,1,2,0,0,1,0,1,0,2,0,1,1,0,0,1,1,1,2,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,pos
3,4,3,2,3,0,0,0,1,2,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,pos
13,7,5,8,6,1,1,4,1,4,3,4,4,4,1,3,5,0,3,0,5,1,2,1,2,6,2,0,0,1,0,0,0,1,3,1,1,1,0,4,1,3,0,2,2,1,1,1,0,3,0,2,0,0,0,2,0,0,1,4,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,4,0,0,0,1,0,0,2,1,1,0,0,1,0,2,0,1,3,pos
